# Checked to have good closure phases,,,,
# Used in baseline cals,,,,
# Unresolved and strong,,,,
# Some variable,,,,
# Names|alias, tag, RA, Dec, Flux model (Min freq [MHz] Max freq [MHz] [model coefficients])
J0137+3309 | 3C48, radec bpcal, 01:37:41.29, +33:09:35.13,(50. 50000. 0.5240 1.7377 -0.6396 0.0498)
J0252-7104 | 0252-712, radec bpcal, 02:52:46.31, -71:04:36.2, (145. 20000. 1.1245 0.7190 -0.2955 0.0096)
J0408-6545 | 0408-658, radec bpcal, 04:08:20.38, -65:45:09.6, (145. 18000. -0.9790 3.3662 -1.1216 0.0861)
J0521+1638 | 3C138, radec bpcal, 05:21:09.93, +16:38:22.2, (200. 50000. 1.3781 0.1619 -0.065 -0.01)
J0825-5010 | 0823-500, radec bpcal, 08:25:26.86, -50:10:38.486, (408. 22000. -33.5795 27.9753 -7.3670 0.6198)
J1130-1449 | 1127-145, radec bpcal, 11:30:07.05, -14:49:27.2, (302. 20000. -4.7962 4.3260 -1.0387 0.0710)
J1331+3030 | 3C286, radec bpcal, 13:31:08.288, +30:30:32.959, (50. 50000. 0.0181 1.592 -0.5011 0.0357)
J1609+2641 | CTD93, radec bpcal, 16:09:13.32, +26:41:29.0, (318. 10695. -20.1510 17.1277 -4.4962 0.3670)
J1744-5144 | 1740-517, radec bpcal, 17:44:25.47, -51:44:43.1, (145. 99000. -3.6941 2.7447 -0.3655 -0.015)
J1939-6342 | 1934-638, radec bpcal, 19:39:25.05, -63:42:43.63, (408. 8640. -30.7667 26.4908 -7.0977 0.605334)
# From here is new sources,,,,
# (above sources often used in observations for bpcal),,,,
J0010-4153 | 0008-421, radec bpcal, 00:10:52.52, -41:53:10.8, (145. 20000. -16.9316 15.3898 -4.2105 0.3496)
J0025-2602 | 0023-263, radec bpcal, 00:25:49.17, -26:02:12.8, (333. 99000. -8.4450 9.2780 -2.7801 0.2499)
J0059+0006 | 0056-001, radec bpcal, 00:59:05.53, +00:06:51.5, (74.   8400. -0.9051 1.8362 -0.6141 0.0518)
J0240-2309 | 0237-233, radec bpcal, 02:40:08.14, -23:09:16.0, (365. 43000. -23.5170 20.5047 -5.5855 0.4851)
J0318+1628 | CTA21, radec bpcal, 03:18:57.77, 16:28:33.1, (318. 43000. -13.4672 12.4587 -3.4110 0.2867)
J0616-3456 | 0614-349, radec bpcal, 06:16:35.981369, -34:56:16.5633960, (80.  20000. 1.6678 -0.2215 -0.0396 -0.0044)
J1008+0730 | 3C237, radec bpcal, 10:08:00.016, +07:30:16.552, (145. 43000. 3.1549 -1.0771 0.2183 -0.0356)
J1150-0023 | 1148-001, radec bpcal, 11:50:43.870761, -00:23:54.204900, (80. 99000. 2.6701 -2.1297 0.7214 -0.0857)
J1347+1217 | 1345+125, radec bpcal, 13:47:33.36, +12:17:24.238, (333. 99000. 1.4389 -0.2156 0.0345 -0.0130)
J1726-5529 | 1722-554, radec bpcal, 17:26:49.7, -55:29:38.0, (408. 20000. -22.9922 19.0166 -4.8335 0.3765)
J1733-1304 | NRAO530, radec bpcal, 17:33:02.66, -13:04:49.1, (408. 99000. -0.1038 1.0514 -0.3499 0.0322)
J1830-3602 | 1827-360, radec bpcal, 18:30:58.97, -36:02:31.7, (333. 22000. 0.4218 1.4761 -0.4243 0.0002)
J2206-1835 | 2203-188, radec bpcal, 22:06:10.33, -18:35:39.0, (145. 99000. 2.1847 -0.7118 0.1563 -0.0215)
