G328.24-0.55, radec B1950, 15:54:06.11, -53:50:47.0
G331.13-0.24, radec B1950, 16:07:10.8, -51:42:29.0
G338.93-0.06, radec B1950, 16:39:36.5, -46:00:05.0
G339.62-0.12, radec B1950, 16:42:26.5, -45:31:18.0
G351.78-0.54, radec B1950, 17:23:20.9, -36:06:46
G9.62+0.20, radec B1950, 18:03:15.98,  -20:31:52.9
G12.89+0.49, radec B1950, 18:08:56.4, -17:32:14.0
1613-586, radec gaincal delaycal, 16:17:17.88951,-58:48:07.8604
1722-55, radec gaincal delaycal, 17:26:49.615,-55:29:40.60
1730-130, radec gaincal delaycal, 17:33:02.705790,-13:04:49.548230
1934-638 , radec bpcal fluxcal delaycal, 19:39:25.026 , -63:42:45.63
3C286, radec bpcal fluxcal delaycal, 13:31:08.29,  +30:30:33.0
